modelo,MAE,MSE,R2
XGBoost,0.016722698962799466,0.0006975552428835021,0.11356042347994222
MLP,0.01712375340447306,0.0007144803806188891,-0.0055450726650644695
LSTM,0.019210428718519645,0.001395233786492823,-4.168800133148212
