modelo,MAE,MSE,R2
XGBoost,0.016722698237009153,0.0006975551626528155,0.11356046310938943
MLP,0.01704074095377175,0.0007107352942641484,0.004026861807817046
LSTM,0.01723456990658496,0.0007326105760406845,-0.028895573998981055
